Name,Type
Schwarzer Assmannshaeuser,Red
Schwarzer Burgunder,Red
Schwarzer Champagner,Red
Schwarzer Klaevner,Red
Schwarzer Klevner,Red
Schwarzer Riesling,Red
Schwarzer Rissling,Red
Schwarzer Suessling,Red
Schwarzer Tokayer,Red
Schwarzklaevner,Red
Schwarzklevner,Red
Schwarztraeuble,Red
Servagnin Noir De Seyssel,Red
Sevagnin Noir,Red
Shpachock,Red
Shpachok,Red
Shpetburgunder,Red
Spacok,Red
Spaetburgunder,Red
Spaetburgunder Blauer,Red
Spaeter Burgunder,Red
Spaetes Moehrchen,Red
Spaetes Moerchen,Red
Spatburgunder,Red
Spetburgunder,Red
Suesschwarz Grobes,Red
Suessedel,Red
Suessling,Red
Suessrot,Red
Suessroth,Red
Suessschwarz,Red
Suessschwarzer,Red
Susschwarzer,Red
Sussedel,Red
Sussrot,Red
Sussschwarzer,Red
Talvagnere Rouge,Red
Talvagnues Rouges,Red
Ternent,Red
Thalrother,Red
Tinto,Red
Traminer Blau,Red
Traminer Schwarz,Red
Vert Dore,Red
Vrai Auvernas,Red
Waltertinger,Red
Blauer Wildbacher,Red
Wildbacher Blau,Red
Blauer Greutler,Red
Blauer Kracher,Red
Dioljak,Red
Divljak,Red
